NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
187.5,1390819,621945,582195,1580422,1676002,1170277,236551,
188.5,1386801,728854,584695,1426063,1775530,1180389,225376,
189.5,1378857,849046,589273,1284474,1870885,1194507,221948,
190.5,1367207,982465,595909,1156346,1959547,1212295,225640,
191.5,1352114,1128567,604577,1041749,2038960,1233194,235176,
192.5,1333878,1286253,615246,940293,2106662,1256466,249083,
193.5,1312827,1453820,627875,851278,2160419,1281244,266035,
194.5,1289311,1628962,642411,773811,2198363,1306572,284997,
195.5,1263690,1808792,658791,706910,2219112,1331459,305198,
196.5,1236330,1989916,676936,649568,2221863,1354923,326041,
197.5,1207595,2168550,696747,600812,2206441,1376029,347018,
198.5,1177838,2340664,718108,559731,2173317,1393932,367632,
199.5,1147400,2502162,740880,525500,2123566,1407901,387362,
200.5,1116599,2649072,764900,497385,2058801,1417352,405652,
201.5,1085733,2777740,789982,474752,1981063,1421854,421923,
202.5,1055073,2885002,815914,457059,1892691,1421148,435604,
203.5,1024864,2968344,842462,443853,1796189,1415142,446168,
204.5,995320,3026004,869369,434763,1694090,1403909,453173,
205.5,966630,3057047,896358,429492,1588837,1387673,456292,
206.5,938953,3061377,923137,427809,1482685,1366792,455336,
207.5,912422,3039710,949401,429541,1377626,1341740,450263,
208.5,887145,2993497,974842,434563,1275345,1313078,441183,
209.5,863207,2924822,999147,442793,1177200,1281434,428340,
210.5,840671,2836262,1022014,454181,1084220,1247470,412100,
211.5,819583,2730751,1043152,468704,997133,1211865,392923,
212.5,799970,2611425,1062288,486356,916387,1175285,371334,
213.5,781844,2481482,1079178,507142,842199,1138369,347903,
214.5,765206,2344061,1093606,531066,774589,1101706,323217,
215.5,750045,2202129,1105395,558123,713429,1065824,297860,
216.5,736340,2058401,1114406,588293,658477,1031183,272406,
217.5,724062,1915282,1120544,621529,609414,998166,247406,
218.5,713178,1774832,1123757,657750,565873,967078,223397,
219.5,703646,1638749,1124039,696829,527463,938145,200909,
220.5,695422,1508379,1121423,738592,493787,911521,180472,
221.5,688458,1384727,1115987,782806,464457,887287,162632,
222.5,682702,1268492,1107844,829179,439106,865465,147932,
223.5,678098,1160099,1097140,877356,417390,846017,136859,
224.5,674591,1059738,1084049,926923,398997,828859,129735,
225.5,672120,967406,1068770,977406,383644,813869,126586,
226.5,670625,882946,1051516,1028283,371082,800891,127075,
227.5,670043,806080,1032516,1078992,361091,789744,130564,
228.5,670307,736443,1012005,1128940,353484,780236,136277,
229.5,671351,673613,990218,1177523,348099,772161,143452,
230.5,673107,617130,967390,1224137,344800,765313,151434,
231.5,675502,566521,943749,1268198,343472,759488,159702,
232.5,678465,521311,919514,1309155,344022,754493,167857,
233.5,681921,481036,894890,1346510,346373,750146,175600,
234.5,685794,445252,870070,1379825,350461,746280,182709,
235.5,690007,413538,845229,1408741,356237,742750,189024,
236.5,694482,385506,820528,1432980,363655,739430,194432,
237.5,699140,360796,796106,1452353,372681,736215,198861,
238.5,703903,339080,772090,1466759,383278,733022,202269,
239.5,708691,320062,748586,1476189,395414,729788,204645,
240.5,713426,303476,725686,1480717,409051,726471,206002,
241.5,718033,289083,703465,1480493,424147,723044,206373,
242.5,722435,276673,681984,1475736,440654,719496,205811,
243.5,726562,266058,661290,1466724,458511,715829,204382,
244.5,730345,257073,641420,1453783,477648,712054,202168,
245.5,733718,249574,622397,1437271,497980,708188,199260,
246.5,736621,243434,604235,1417572,519409,704254,195755,
247.5,739000,238543,586941,1395085,541820,700278,191756,
248.5,740805,234803,570512,1370211,565084,696283,187371,
249.5,741992,232129,554940,1343346,589058,692293,182704,
250.5,742525,230447,540211,1314875,613585,688329,177859,
251.5,742373,229692,526307,1285163,638496,684406,172936,
252.5,741512,229804,513204,1254554,663613,680538,168027,
253.5,739927,230731,500878,1223365,688751,676731,163216,
254.5,737608,232425,489300,1191885,713724,672988,158576,
255.5,734553,234839,478440,1160371,738342,669309,154169,
256.5,730766,237930,468265,1129054,762422,665687,150042,
257.5,726257,241657,458742,1098131,785787,662115,146230,
258.5,721043,245975,449837,1067775,808269,658580,142752,
259.5,715147,250842,441516,1038127,829714,655069,139615,
260.5,708596,256212,433742,1009306,849985,651568,136812,
261.5,701421,262037,426480,981404,868959,648060,134327,
262.5,693658,268266,419696,954496,886536,644530,132133,
263.5,685346,274846,413352,928631,902631,640961,130200,
264.5,676526,281719,407414,903844,917182,637337,128492,
265.5,667243,288825,401846,880154,930143,633642,126972,
266.5,657541,296100,396613,857564,941486,629861,125604,
267.5,647467,303477,391680,836065,951200,625978,124352,
268.5,637066,310889,387014,815636,959287,621978,123185,
269.5,626386,318266,382579,796247,965758,617847,122074,
270.5,615471,325537,378342,777857,970636,613569,120993,
271.5,604367,332634,374270,760418,973948,609127,119919,
272.5,593117,339489,370332,743875,975726,604508,118834,
273.5,581761,346036,366495,728165,976002,599692,117720,
274.5,570340,352216,362728,713221,974806,594662,116561,
275.5,558891,357972,359003,698967,972168,589400,115345,
276.5,547448,363255,355289,685325,968109,583885,114057,
277.5,536044,368022,351560,672210,962647,578097,112684,
278.5,524709,372237,347789,659533,955792,572012,111214,
279.5,513470,375873,343951,647201,947546,565608,109632,
280.5,502351,378912,340024,635119,937904,558862,107924,
281.5,491375,381343,335985,623186,926854,551748,106076,
282.5,480560,383162,331815,611302,914376,544243,104073,
283.5,469922,384377,327498,599363,900449,536322,101899,
284.5,459478,384998,323016,587266,885046,527961,99538,
285.5,449237,385047,318358,574911,868139,519138,96977,
286.5,439211,384547,313513,562197,849702,509834,94202,
287.5,429407,383527,308473,549030,829716,500031,91200,
288.5,419829,382023,303232,535323,808166,489715,87963,
289.5,410483,380069,297787,520994,785051,478877,84484,
290.5,401370,377704,292139,505977,760382,467515,80761,
291.5,392492,374967,286288,490216,734189,455630,76799,
292.5,383846,371896,280240,473671,706523,443235,72605,
293.5,375430,368529,274001,456321,677457,430348,68198,
294.5,367243,364901,267583,438164,647091,416996,63602,
295.5,359278,361046,260995,419221,615550,403218,58855,
296.5,351531,356995,254252,399536,582987,389060,54003,
297.5,343995,352773,247369,379174,549583,374579,49112,
298.5,336665,348405,240364,358226,515542,359840,44265,
299.5,329531,343909,233254,336804,481092,344918,39570,
300.5,322587,339299,226060,315039,446480,329893,35168,
301.5,315824,334586,218801,293083,411964,314852,31242,
302.5,309234,329777,211500,271098,377813,299884,28013,
303.5,302807,324872,204177,249257,344295,285082,25722,
304.5,296535,319870,196854,227738,311671,270534,24559,
305.5,290409,314765,189552,206716,280192,256327,24562,
306.5,284419,309547,182293,186361,250085,242541,25580,
307.5,278557,304202,175096,166830,221554,229248,27329,
308.5,272813,298716,167981,148265,194768,216509,29507,
309.5,267180,293071,160966,130786,169860,204373,31861,
310.5,261648,287247,154070,114488,146927,192876,34203,
311.5,256211,281224,147308,99441,126023,182041,36404,
312.5,250859,274980,140694,85689,107161,171877,38378,
313.5,245586,268495,134242,73245,90319,162378,40071,
314.5,240385,261750,127964,62101,75438,153528,41453,
315.5,235249,254727,121869,52222,62431,145300,42512,
316.5,230174,247411,115966,43553,51184,137658,43249,
317.5,225152,239791,110262,36025,41566,130559,43674,
318.5,220181,231861,104762,29555,33431,123958,43805,
319.5,215255,223619,99470,24049,26627,117804,43665,
320.5,210371,215069,94390,19411,21000,112048,43280,
321.5,205526,206222,89521,15543,16398,106642,42679,
322.5,200718,197096,84864,12350,12678,101541,41891,
323.5,195945,187716,80417,9737,9704,96704,40945,
324.5,191206,178115,76180,7621,7353,92095,39870,
325.5,186501,168332,72147,5922,5516,87684,38696,
326.5,181830,158413,68317,4570,4097,83445,37447,
327.5,177193,148411,64683,3504,3013,79361,36151,
328.5,172591,138382,61240,2670,2193,75415,34830,
329.5,168026,128388,57984,2023,1581,71600,33505,
330.5,163501,118492,54907,1524,1129,67911,32196,
331.5,159017,108761,52003,1143,798,64344,30920,
332.5,154577,99258,49266,853,559,60903,29689,
333.5,150185,90045,46688,634,388,57588,28515,
334.5,145844,81182,44262,470,267,54405,27405,
335.5,141558,72721,41982,347,182,51358,26364,
336.5,137329,64709,39840,256,123,48452,25393,
337.5,133163,57185,37830,189,82,45690,24491,
338.5,129062,50178,35944,139,55,43076,23653,
339.5,125031,43709,34176,102,36,40611,22875,
340.5,121074,37790,32519,75,24,38296,22149,
341.5,117193,32422,30968,55,15,36131,21468,
342.5,113393,27599,29515,41,10,34112,20824,
343.5,109678,23305,28155,30,6,32235,20211,
344.5,106049,19518,26882,22,4,30495,19622,
345.5,102510,16211,25692,17,3,28886,19051,
346.5,99064,13350,24578,13,2,27401,18496,
347.5,95712,10899,23536,9,0,26032,17952,
348.5,92458,8821,22561,7,0,24769,17418,
349.5,89302,7076,21649,5,0,23606,16893,
350.5,86245,5625,20795,4,0,22534,16376,
351.5,83290,4432,19996,3,0,21544,15868,
352.5,80436,3460,19247,3,0,20629,15370,
353.5,77684,2676,18547,2,0,19782,14882,
354.5,75035,2051,17890,2,0,18995,14405,
355.5,72486,1557,17273,1,0,18264,13941,
356.5,70040,1171,16695,1,0,17581,13491,
357.5,67693,872,16152,0,0,16944,13055,
358.5,65446,644,15641,0,0,16346,12634,
359.5,63297,471,15161,0,0,15786,12228,
360.5,61245,341,14708,0,0,15259,11839,
361.5,59288,245,14280,0,0,14763,11466,
362.5,57424,174,13876,0,0,14295,11109,
363.5,55652,122,13494,0,0,13854,10769,
364.5,53968,85,13131,0,0,13437,10446,
365.5,52372,59,12787,0,0,13044,10138,
366.5,50860,40,12459,0,0,12672,9847,
367.5,49431,27,12146,0,0,12321,9571,
368.5,48082,18,11846,0,0,11989,9310,
369.5,46810,12,11558,0,0,11676,9064,
370.5,45614,8,11282,0,0,11381,8833,
371.5,44491,5,11015,0,0,11102,8615,
372.5,43438,3,10757,0,0,10840,8412,
373.5,42453,2,10506,0,0,10592,8221,
374.5,41535,1,10262,0,0,10360,8043,
375.5,40679,0,10024,0,0,10141,7877,
376.5,39885,0,9791,0,0,9935,7724,
377.5,39150,0,9562,0,0,9743,7581,
378.5,38472,0,9336,0,0,9562,7450,
379.5,37849,0,9114,0,0,9393,7330,
380.5,37278,0,8894,1,0,9235,7219,
381.5,36758,0,8675,1,0,9087,7119,
382.5,36287,0,8458,2,0,8949,7028,
383.5,35863,0,8242,2,0,8822,6946,
384.5,35484,0,8027,3,0,8703,6873,
385.5,35148,0,7813,3,0,8593,6809,
386.5,34854,0,7598,4,0,8491,6753,
387.5,34599,0,7384,6,0,8398,6705,
388.5,34383,0,7170,8,0,8312,6664,
389.5,34202,0,6957,10,0,8234,6630,
390.5,34056,0,6743,14,0,8162,6604,
391.5,33943,0,6529,18,0,8098,6584,
392.5,33861,0,6316,25,0,8040,6570,
393.5,33809,0,6103,34,0,7989,6562,
394.5,33784,0,5891,47,0,7944,6559,
395.5,33785,0,5680,65,0,7906,6562,
396.5,33810,0,5470,89,0,7874,6569,
397.5,33858,0,5261,123,0,7848,6580,
398.5,33926,0,5054,171,0,7830,6595,
399.5,34012,0,4849,237,0,7820,6613,
400.5,34114,0,4647,329,0,7818,6633,
401.5,34231,0,4447,455,0,7827,6654,
402.5,34360,0,4250,629,0,7848,6675,
403.5,34498,0,4057,867,0,7885,6695,
404.5,34644,0,3867,1192,0,7941,6713,
405.5,34795,0,3682,1630,0,8021,6728,
406.5,34949,0,3500,2219,0,8134,6737,
407.5,35103,0,3324,3005,0,8286,6742,
408.5,35254,0,3152,4044,0,8490,6741,
409.5,35400,0,2984,5406,0,8758,6737,
410.5,35537,0,2823,7173,0,9107,6737,
411.5,35664,0,2666,9441,0,9554,6752,
412.5,35778,0,2515,12321,0,10123,6804,
413.5,35875,0,2370,15933,0,10836,6926,
414.5,35953,0,2230,20405,0,11718,7167,
415.5,36008,0,2097,25866,0,12794,7588,
416.5,36040,0,1969,32438,0,14089,8254,
417.5,36044,0,1846,40227,0,15623,9220,
418.5,36018,0,1730,49307,0,17411,10526,
419.5,35959,0,1619,59707,0,19457,12181,
420.5,35867,0,1514,71397,0,21756,14177,
421.5,35737,0,1414,84276,0,24286,16481,
422.5,35569,0,1320,98155,0,27009,19045,
423.5,35361,0,1231,112759,0,29870,21801,
424.5,35111,0,1148,127719,0,32796,24666,
425.5,34818,0,1069,142587,0,35695,27545,
426.5,34482,0,995,156850,0,38465,30327,
427.5,34101,0,925,169953,0,40996,32897,
428.5,33676,0,860,181337,0,43175,35141,
429.5,33206,0,799,190473,0,44896,36949,
430.5,32692,0,743,196905,0,46068,38229,
431.5,32135,0,690,200283,0,46621,38909,
432.5,31535,0,640,200396,0,46514,38946,
433.5,30895,0,594,197195,0,45737,38328,
434.5,30216,0,552,190797,0,44313,37080,
435.5,29500,0,512,181479,0,42298,35256,
436.5,28749,0,476,169660,0,39777,32939,
437.5,27966,0,442,155865,0,36855,30237,
438.5,27155,0,410,140691,0,33651,27267,
439.5,26317,0,381,124755,0,30291,24155,
440.5,25456,0,354,108659,0,26894,21022,
441.5,24577,0,330,92944,0,23570,17979,
442.5,23681,0,307,78069,0,20411,15120,
443.5,22774,0,286,64383,0,17488,12519,
444.5,21857,0,266,52127,0,14850,10228,
445.5,20936,0,248,41429,0,12523,8278,
