NTA Experiment Summary File,
Created with NTA 3.4 Build 3.4.003,
,
238.5,379298,482702,909337,1133772,406589,662340,151830,
239.5,398368,468025,896650,1134845,391437,657865,151474,
240.5,418477,453681,880004,1133220,376805,652438,150525,
241.5,439551,439713,859554,1128920,362680,646084,149041,
242.5,461501,426159,835534,1121992,349048,638847,147103,
243.5,484221,413050,808249,1112512,335895,630785,144811,
244.5,507581,400410,778071,1100580,323205,621969,142280,
245.5,531437,388258,745419,1086317,310963,612479,139633,
246.5,555624,376606,710748,1069862,299156,602399,137001,
247.5,579961,365465,674538,1051369,287769,591820,134509,
248.5,604251,354837,637272,1031007,276788,580831,132270,
249.5,628284,344724,599427,1008950,266202,569518,130380,
250.5,651843,335123,561460,985381,255999,557961,128909,
251.5,674703,326027,523795,960486,246169,546236,127895,
252.5,696637,317430,486816,934449,236701,534407,127343,
253.5,717423,309320,450859,907453,227588,522529,127227,
254.5,736844,301686,416206,879678,218822,510647,127494,
255.5,754695,294515,383090,851297,210395,498799,128069,
256.5,770787,287792,351688,822475,202302,487009,128865,
257.5,784954,281502,322124,793368,194536,475297,129789,
258.5,797048,275629,294479,764123,187092,463674,130747,
259.5,806953,270157,268789,734877,179965,452148,131652,
260.5,814579,265067,245052,705754,173150,440721,132429,
261.5,819867,260344,223237,676870,166643,429392,133009,
262.5,822789,255969,203285,648327,160438,418162,133341,
263.5,823346,251926,185119,620218,154532,407028,133384,
264.5,821571,248195,168647,592625,148919,395991,133108,
265.5,817524,244761,153767,565619,143595,385053,132498,
266.5,811290,241605,140371,539263,138554,374217,131545,
267.5,802977,238710,128348,513610,133791,363487,130251,
268.5,792714,236058,117591,488702,129300,352873,128627,
269.5,780645,233632,107991,464577,125076,342384,126687,
270.5,766924,231415,99446,441262,121114,332032,124453,
271.5,751718,229389,91860,418779,117406,321830,121947,
272.5,735196,227538,85142,397144,113947,311794,119199,
273.5,717531,225844,79210,376366,110731,301936,116236,
274.5,698893,224290,73988,356449,107752,292275,113088,
275.5,679451,222860,69406,337394,105003,282823,109785,
276.5,659366,221537,65403,319194,102478,273596,106356,
277.5,638790,220305,61924,301842,100171,264607,102830,
278.5,617868,219147,58921,285327,98076,255868,99234,
279.5,596733,218048,56349,269634,96187,247390,95592,
280.5,575507,216991,54174,254745,94499,239183,91927,
281.5,554301,215963,52362,240641,93007,231255,88260,
282.5,533212,214947,50886,227301,91704,223610,84609,
283.5,512328,213930,49725,214704,90587,216255,80991,
284.5,491722,212898,48860,202823,89650,209191,77419,
285.5,471461,211839,48276,191636,88889,202420,73904,
286.5,451597,210740,47963,181115,88300,195943,70457,
287.5,432174,209590,47913,171236,87879,189758,67083,
288.5,413230,208380,48121,161971,87623,183865,63788,
289.5,394791,207099,48586,153294,87527,178260,60576,
290.5,376879,205740,49311,145180,87590,172940,57448,
291.5,359508,204297,50299,137600,87806,167902,54407,
292.5,342687,202763,51557,130531,88174,163142,51450,
293.5,326421,201135,53095,123946,88691,158658,48576,
294.5,310711,199410,54925,117822,89353,154444,45784,
295.5,295554,197585,57063,112133,90159,150499,43071,
296.5,280945,195662,59525,106858,91103,146819,40433,
297.5,266877,193641,62330,101973,92185,143401,37870,
298.5,253341,191524,65501,97457,93400,140245,35378,
299.5,240325,189316,69061,93291,94745,137348,32958,
300.5,227820,187021,73036,89455,96216,134710,30610,
