NTA Experiment Summary File,
300.5,322676,325346,311700,650457,402545,82690,
301.5,315628,319462,297168,641813,393518,82908,
302.5,308600,313803,283088,631601,384273,82715,
303.5,301579,308367,269459,619916,374830,82135,
304.5,294555,303151,256281,606866,365213,81192,
305.5,287518,298152,243553,592573,355449,79920,
306.5,280461,293367,231273,577169,345568,78351,
307.5,273377,288793,219437,560795,335601,76523,
308.5,266261,284427,208041,543597,325581,74476,
309.5,259109,280264,197081,525723,315544,72249,
310.5,251920,276303,186551,507322,305524,69883,
311.5,244692,272539,176444,488539,295553,67421,
312.5,237428,268969,166753,469515,285667,64902,
313.5,230130,265590,157472,450387,275894,62365,
314.5,222801,262397,148591,431280,266267,59848,
315.5,215447,259386,140102,412312,256812,57387,
316.5,208074,256555,131997,393589,247554,55015,
317.5,200691,253897,124265,375206,238515,52761,
318.5,193307,251411,116897,357248,229716,50653,
319.5,185933,249091,109882,339786,221173,48713,
320.5,178578,246932,103211,322880,212900,46961,
321.5,171255,244931,96872,306581,204910,45409,
322.5,163977,243082,90855,290926,197210,44067,
323.5,156757,241381,85149,275944,189807,42939,
324.5,149608,239823,79743,261653,182707,42024,
325.5,142544,238402,74626,248066,175909,41315,
326.5,135578,237114,69787,235184,169416,40804,
327.5,128726,235952,65216,223006,163225,40475,
328.5,121999,234911,60901,211522,157333,40314,
329.5,115411,233985,56831,200719,151736,40301,
330.5,108975,233167,52997,190578,146429,40420,
331.5,102701,232451,49388,181080,141405,40649,
332.5,96602,231830,45994,172200,136656,40973,
333.5,90686,231297,42804,163914,132175,41373,
334.5,84964,230844,39809,156195,127953,41835,
335.5,79443,230464,36999,149016,123980,42343,
336.5,74129,230148,34365,142348,120248,42885,
337.5,69029,229889,31899,136164,116745,43449,
338.5,64147,229676,29590,130437,113463,44027,
339.5,59486,229502,27432,125138,110389,44608,
340.5,55048,229355,25416,120241,107515,45185,
341.5,50833,229228,23533,115721,104829,45751,
342.5,46841,229108,21777,111551,102319,46301,
343.5,43071,228986,20140,107708,99976,46829,
344.5,39519,228851,18616,104167,97788,47330,
345.5,36183,228690,17197,100907,95744,47800,
346.5,33057,228494,15877,97906,93834,48236,
347.5,30136,228250,14651,95142,92045,48635,
348.5,27415,227945,13512,92594,90367,48992,
349.5,24885,227569,12455,90244,88788,49306,
350.5,22541,227108,11474,88072,87299,49573,
351.5,20374,226551,10566,86059,85888,49793,
352.5,18376,225886,9724,84187,84543,49961,
353.5,16539,225099,8945,82438,83255,50078,
354.5,14854,224180,8225,80794,82013,50140,
355.5,13312,223117,7559,79237,80807,50146,
356.5,11906,221899,6944,77751,79625,50095,
357.5,10626,220515,6375,76317,78459,49985,
358.5,9465,218956,5851,74920,77298,49815,
359.5,8413,217212,5368,73540,76133,49585,
360.5,7463,215274,4922,72163,74956,49293,
361.5,6607,213136,4512,70772,73757,48938,
362.5,5837,210790,4134,69351,72528,48521,
363.5,5148,208232,3786,67884,71263,48042,
364.5,4530,205458,3466,66358,69953,47500,
365.5,3980,202465,3172,64759,68594,46896,
366.5,3489,199252,2902,63075,67179,46231,
367.5,3054,195819,2654,61295,65706,45506,
368.5,2667,192168,2427,59413,64169,44722,
369.5,2326,188303,2218,57421,62567,43882,
370.5,2025,184229,2026,55316,60899,42986,
371.5,1759,179953,1851,53097,59165,42039,
372.5,1526,175483,1690,50768,57367,41042,
373.5,1321,170830,1543,48333,55507,39999,
374.5,1142,166004,1408,45801,53589,38914,
375.5,986,161020,1284,43186,51619,37790,
376.5,850,155891,1171,40501,49603,36632,
377.5,731,150634,1068,37766,47550,35443,
378.5,628,145265,974,35000,45467,34229,
379.5,539,139802,887,32227,43364,32993,
380.5,462,134265,808,29471,41251,31741,
381.5,395,128672,736,26755,39140,30476,
382.5,337,123044,671,24106,37039,29203,
383.5,288,117400,611,21546,34961,27926,
384.5,245,111761,556,19097,32915,26649,
385.5,209,106148,506,16779,30910,25376,
386.5,177,100579,461,14608,28956,24111,
387.5,151,95074,419,12598,27060,22856,
388.5,128,89652,381,10758,25230,21616,
389.5,108,84330,347,9094,23470,20394,
390.5,92,79125,315,7606,21784,19193,
391.5,77,74052,287,6293,20177,18016,
392.5,65,69126,261,5148,18650,16866,
393.5,55,64359,237,4162,17203,15747,
394.5,46,59762,215,3326,15837,14661,
395.5,39,55344,196,2625,14551,13611,
396.5,33,51115,178,2045,13343,12599,
397.5,28,47079,162,1574,12211,11628,
398.5,23,43243,147,1195,11152,10700,
399.5,19,39608,133,895,10164,9817,
400.5,16,36176,121,661,9244,8979,
401.5,14,32948,110,481,8388,8187,
402.5,11,29922,100,346,7595,7443,
403.5,10,27095,91,245,6860,6745,
404.5,8,24465,82,170,6181,6095,
405.5,7,22025,75,117,5556,5490,
406.5,6,19769,68,79,4980,4930,
407.5,5,17693,62,53,4453,4413,
408.5,4,15787,56,34,3970,3939,
409.5,3,14044,51,22,3530,3505,
410.5,3,12456,46,14,3130,3109,
411.5,2,11015,42,9,2767,2749,
412.5,2,9710,38,5,2439,2424,
413.5,2,8534,34,3,2143,2130,
414.5,1,7478,31,2,1878,1867,
415.5,1,6532,28,1,1641,1630,
416.5,0,5688,26,0,1429,1420,
417.5,0,4938,23,0,1241,1233,
418.5,0,4274,21,0,1074,1067,
419.5,0,3687,19,0,927,920,
420.5,0,3172,17,0,797,791,
421.5,0,2719,16,0,684,679,
422.5,0,2325,14,0,585,580,
423.5,0,1981,13,0,499,494,
424.5,0,1683,12,0,424,420,
425.5,0,1425,11,0,359,355,
426.5,0,1203,10,0,303,300,
427.5,0,1012,9,0,255,252,
428.5,0,849,8,0,214,212,
429.5,0,710,7,0,179,177,
430.5,0,592,7,0,150,148,
431.5,0,492,6,0,125,123,
432.5,0,408,5,0,103,102,
433.5,0,337,5,0,85,84,
434.5,0,278,4,0,71,69,
435.5,0,228,4,0,58,57,
436.5,0,187,4,0,48,46,
437.5,0,152,3,0,39,38,
438.5,0,124,3,0,32,31,
439.5,0,100,3,0,26,25,
440.5,0,81,2,0,21,20,
441.5,0,66,2,0,17,16,
442.5,0,53,2,0,14,13,
443.5,0,42,2,0,11,10,
444.5,0,34,2,0,9,8,
445.5,0,27,1,0,7,7,
446.5,0,21,1,0,6,5,
447.5,0,17,1,0,5,4,
448.5,0,13,1,0,4,3,
449.5,0,11,0,0,3,3,
450.5,0,8,0,0,2,2,
451.5,0,6,0,0,2,2,
452.5,0,5,0,0,1,1,
453.5,0,4,0,0,1,0,
454.5,0,3,0,0,0,0,
455.5,0,2,0,0,0,0,
456.5,0,2,0,0,0,0,
457.5,0,1,0,0,0,0,
458.5,0,1,0,0,0,0,
459.5,0,0,0,0,0,0,
460.5,0,0,0,0,0,0,
461.5,0,0,0,0,0,0,
462.5,0,0,0,0,0,0,
463.5,0,0,0,0,0,0,
464.5,0,0,0,0,0,0,
465.5,0,0,0,0,0,0,
466.5,0,0,0,0,0,0,
467.5,0,0,0,0,0,0,
468.5,0,0,0,0,0,0,
469.5,0,0,0,0,0,0,
470.5,0,0,0,0,0,0,
471.5,0,0,0,0,0,0,
472.5,0,0,0,0,0,0,
473.5,0,0,0,0,0,0,
474.5,0,0,0,0,0,0,
475.5,0,0,0,0,0,0,
476.5,0,0,0,0,0,0,
477.5,0,0,0,0,0,0,
478.5,0,0,0,0,0,0,
479.5,0,0,0,0,0,0,
480.5,0,0,0,0,0,0,
481.5,0,0,0,0,0,0,
482.5,0,0,0,0,0,0,
483.5,0,0,0,0,0,0,
484.5,0,0,0,0,0,0,
485.5,0,0,0,0,0,0,
486.5,0,0,0,0,0,0,
487.5,0,0,0,0,0,0,
488.5,0,0,0,0,0,0,
489.5,0,0,0,0,0,0,
490.5,0,0,0,0,0,0,
491.5,0,0,0,0,0,0,
492.5,0,0,0,0,0,0,
493.5,0,0,0,0,0,0,
494.5,0,0,0,0,0,0,
495.5,0,0,0,0,0,0,
496.5,0,0,0,0,0,0,
497.5,0,0,0,0,0,0,
498.5,0,0,0,0,0,0,
499.5,0,0,0,0,0,0,
500.5,0,0,0,0,0,0,
501.5,0,0,0,0,0,0,
502.5,0,0,0,0,0,0,
