NTA Experiment Summary File,
266.5,476730,851909,578299,319950,556722,111826,
267.5,457120,834275,564725,307177,540824,111161,
268.5,438249,816535,548111,294899,524449,110302,
269.5,420092,798659,528559,283095,507601,109245,
270.5,402628,780617,506238,271746,490307,108008,
271.5,385832,762385,481390,260836,472611,106624,
272.5,369685,743943,454323,250346,454574,105139,
273.5,354163,725274,425403,240260,436275,103603,
274.5,339247,706367,395047,230564,417806,102069,
275.5,324917,687216,363708,221242,399271,100582,
276.5,311153,667819,331862,212281,380779,99173,
277.5,297937,648178,299989,203668,362443,97859,
278.5,285251,628303,268561,195389,344376,96633,
279.5,273077,608206,238022,187433,326684,95473,
280.5,261399,587905,208772,179788,309466,94338,
281.5,250200,567425,181157,172443,292806,93177,
282.5,239465,546791,155460,165387,276776,91935,
283.5,229178,526038,131890,158611,261429,90558,
284.5,219325,505200,110582,152104,246803,88998,
285.5,209891,484318,91599,145858,232917,87218,
286.5,200863,463436,74936,139862,219774,85192,
287.5,192227,442600,60525,134110,207365,82912,
288.5,183970,421858,48248,128591,195667,80380,
289.5,176079,401261,37949,123298,184647,77610,
290.5,168542,380859,29440,118224,174266,74626,
291.5,161347,360706,22521,113361,164484,71461,
292.5,154482,340852,16982,108701,155254,68150,
293.5,147936,321350,12619,104237,146536,64733,
294.5,141697,302248,9238,99963,138287,61249,
295.5,135754,283595,6660,95872,130470,57736,
296.5,130097,265436,4728,91957,123055,54230,
297.5,124715,247813,3304,88213,116011,50763,
298.5,119598,230764,2272,84632,109317,47367,
299.5,114736,214324,1537,81210,102952,44065,
300.5,110119,198525,1023,77940,96902,40880,
301.5,105738,183390,669,74817,91154,37831,
302.5,101583,168942,430,71835,85698,34934,
303.5,97645,155196,272,68989,80526,32200,
304.5,93916,142163,169,66275,75631,29641,
305.5,90387,129850,103,63686,71007,27263,
306.5,87049,118257,62,61219,66647,25071,
307.5,83895,107381,36,58868,62545,23070,
308.5,80916,97214,21,56629,58695,21261,
309.5,78106,87744,12,54498,55090,19643,
310.5,75456,78955,7,52470,51722,18212,
311.5,72960,70829,4,50541,48583,16963,
312.5,70610,63341,2,48708,45665,15888,
313.5,68401,56468,1,46966,42959,14976,
314.5,66325,50182,0,45312,40455,14213,
315.5,64377,44455,0,43741,38143,13584,
316.5,62550,39256,0,42252,36014,13072,
317.5,60839,34553,0,40840,34058,12660,
318.5,59239,30316,0,39502,32264,12332,
319.5,57745,26512,0,38235,30623,12070,
320.5,56350,23110,0,37036,29124,11861,
321.5,55051,20079,0,35903,27758,11693,
322.5,53843,17388,0,34832,26516,11555,
323.5,52721,15008,0,33822,25388,11440,
324.5,51682,12911,0,32869,24366,11341,
325.5,50720,11071,0,31971,23441,11252,
326.5,49833,9462,0,31127,22605,11172,
327.5,49015,8059,0,30334,21852,11096,
328.5,48264,6842,0,29589,21174,11024,
329.5,47576,5790,0,28892,20565,10955,
330.5,46948,4883,0,28240,20018,10888,
331.5,46375,4104,0,27632,19528,10823,
332.5,45855,3439,0,27066,19090,10760,
333.5,45384,2871,0,26541,18699,10699,
334.5,44959,2390,0,26054,18351,10641,
335.5,44577,1982,0,25606,18041,10586,
336.5,44234,1639,0,25194,17767,10533,
337.5,43928,1351,0,24818,17524,10484,
338.5,43654,1110,0,24476,17310,10438,
339.5,43410,908,0,24168,17122,10395,
340.5,43193,741,0,23893,16957,10356,
341.5,42998,603,0,23649,16812,10319,
342.5,42823,489,0,23437,16687,10285,
343.5,42663,395,0,23255,16578,10254,
344.5,42517,318,0,23103,16484,10225,
